"NCI_U133A_2L"	"NCI_U133A_8L"	"NCI_U133A_9L"
"529"	5.2	5.41	5.29
"530"	8.58	8.46	8.04
"531"	8.51	8.89	7.82
"532"	5.69	5.28	5.29
"533"	7.34	7.99	7.47
"534"	7.13	7.13	7.12
"535"	7.51	7.68	7.45
"536"	8.43	7.8	7.64
"537"	6.63	6.74	6.42
"538"	7.03	6.58	6.94
"539"	3.98	3.9	3.86
"540"	7.01	8.51	9.1
"541"	8.68	9.9	10.53
"542"	6.62	6.05	6.59
"543"	6.85	6.65	6.59
"544"	5.96	6.23	6.03
"545"	5.19	4.97	5.05
"546"	7.15	7.43	7.68
"547"	7.59	6.93	7.43
"548"	8.2	8.96	9.29
"549"	8.89	9.55	9.56
"550"	8.36	7.85	7.96
"551"	7.34	10.09	7.78
"552"	6.76	10.22	8.19
"553"	4.84	5.09	5.05
"554"	5.42	4.76	5.03
"555"	6.57	7.01	7.37
"556"	7.86	8.1	7.79
"557"	6.67	7.52	7.96
"558"	6.99	10.41	10.86
"559"	4.15	3.91	4.04
"560"	6.3	5.92	6.18
"561"	9.64	9.55	9.54
"562"	6.87	7.05	6.99
"563"	10.5	11.96	12.66
"564"	5.64	5.74	5.75
"565"	4.44	4.6	4.53
"566"	7.11	7.14	7.04
"567"	4.7	4.74	4.84
"568"	6.22	6.2	6.55
"569"	4.63	4.57	4.4
"570"	7.12	6.2	6.84
"571"	8.11	5.32	6.77
"572"	11.5	10.73	10.77
"573"	5.61	5.08	5.14
"574"	8.88	7.92	10.21
"575"	4.62	4.83	4.72
"576"	5.15	5.28	5.12
"577"	6.62	7.48	7.42
"578"	13.03	12.44	12.91
"579"	7.74	8.1	7.46
"580"	6.45	6.33	6.5
"581"	4.87	4.85	5.12
"582"	6.74	6.48	6.69
"583"	5.74	5.83	5.74
"584"	4.14	4.16	4.13
"585"	6.87	7.13	7.47
"586"	9.13	9.28	9.52
"587"	8.5	7.96	8.22
"588"	6.82	6.93	6.74
"589"	10.15	7.89	8.44
"590"	6.56	7.16	7.19
"591"	6.15	4.98	4.87
"592"	4.04	3.89	4.03
"593"	6.77	6.93	6.81
"594"	7	7.12	7.14
"595"	8.04	7.68	8.19
"596"	8.11	8.05	7.95
"597"	8.36	7.84	8.23
"598"	10.08	10.42	10.41
"599"	8.95	9.5	9.84
"600"	9.67	10.25	10.63
"601"	8.32	9.97	9.1
"602"	8.09	8.73	8.65
"603"	7.09	7.55	7.75
"604"	10.53	9.57	9.11
"605"	6.07	6.27	6.11
"606"	8.14	8.38	8.85
"607"	6.43	6.6	6.95
"608"	6.5	6.93	7.7
"609"	6.83	7.78	9.05
"610"	7.66	8.63	10.02
"611"	9.28	10.09	11.15
"612"	8.45	8.84	8.47
"613"	7.9	9.04	8.62
"614"	7.14	7.27	7.33
"615"	7.08	7.54	6.82
"616"	7.66	7.75	7.66
"617"	6.9	6.45	7.13
"618"	7.9	7.4	7.52
"619"	7.62	7.88	8.17
"620"	7.98	8.19	8.48
"621"	7.68	8.51	8.36
"622"	10.77	10.66	11.48
"623"	7.59	7.56	7.81
"624"	7.02	6.93	7.05
"625"	4.37	4.44	4.46
"626"	9.83	8.9	8.8
"627"	7.35	7.6	7.63
"628"	5.34	6.72	7.77
"629"	6.49	5.6	5.95
"630"	6.32	6.35	6.58
"631"	6.4	6.58	6.58
"632"	6.99	8.66	6.72
"633"	6.42	6.41	6.65
"634"	7.9	7.39	7.57
"635"	7.56	6.43	6.89
"636"	9.3	9.44	9.57
"637"	3.92	4.05	3.91
"638"	8.14	8.42	7.78
"639"	7.27	6.39	7.2
"640"	8.83	8.32	7.66
"641"	8.28	7.9	8.57
"642"	7.6	8.05	8.3
"643"	6.79	7.23	7.51
"644"	7.92	7.55	7.82
"645"	8.47	8.47	8.6
"646"	7.96	8.06	8.17
"647"	8.27	5.52	6.68
"648"	7.89	7.96	8.23
"649"	7.09	6.25	7.26
"650"	6.2	6.62	6.55
"651"	5.47	5.07	4.93
"652"	6.99	7.16	6.83
"653"	7.97	8.01	7.64
"654"	6.57	6.51	6.17
"655"	6.21	6.19	5.82
"656"	4.99	5.01	4.67
"657"	4.68	4.51	4.7
"658"	8.87	8.9	9.63
"659"	9.4	8.74	8.81
"660"	7.32	7.91	8.42
"661"	6.38	5.39	6.38
"662"	7.81	8.11	7.91
"663"	5.89	6.16	6.01
"664"	9.93	10	9.98
"665"	5.35	6.98	6.28
"666"	5.41	6.04	6.6
"667"	8.18	9.55	8.74
"668"	9.05	9.25	8.89
"669"	8.81	8.79	8.35
"670"	6.72	7.02	6.9
"671"	5.88	5.84	5.84
"672"	8.03	8.2	8.28
"673"	7.2	6.81	6.54
"674"	6.5	8.55	7.88
"675"	4.3	4.44	4.25
"676"	6	6.54	6.54
"677"	8.61	8.04	9.95
"678"	8.46	7.44	7.91
"679"	7.35	7.6	7.3
"680"	5.95	6.09	6.36
"681"	5.62	5.68	6.2
"682"	5.62	5.64	5.75
"683"	8.84	8.15	7.93
"684"	8.72	11.11	10.36
"685"	9.35	8.94	9.55
"686"	8.43	8.36	8.14
"687"	6.97	6.86	6.93
"688"	7.58	7.13	8.5
"689"	7.15	5.88	6.38
"690"	9.24	8.01	8.46
"691"	7.95	8	8.15
"692"	6.53	6.35	6.45
"693"	10.58	10.29	9.71
"694"	8.1	8.86	8.4
"695"	6.34	6.2	6.45
"696"	7.1	7.19	7.33
"697"	6.61	6	6.15
"698"	9.41	9.49	10.24
"699"	9.44	10.16	9.92
"700"	6.42	6.13	6.2
"701"	6.8	6.43	6.36
"702"	9.86	9.96	10.14
"703"	4.72	4.76	4.67
"704"	8.53	8.04	7.25
"705"	5.6	5.41	5.48
"706"	7.53	9.63	7.56
"707"	7.12	9.25	8.57
"708"	8.48	7.35	7.38
"709"	6.78	6.53	6.38
"710"	6.38	6.08	6.02
"711"	5.89	5.84	5.88
"712"	6.44	6.91	6.77
"713"	6.88	6.74	8.77
"714"	6.8	6.95	6.46
"715"	7.52	7.53	7.73
"716"	5.82	5.48	6
"717"	6.1	6.26	5.88
